alpha_model-1602994931, 35.0279, 10, 0.76, 0.01472, 0.91667, 0.00505
alpha_model-1602994931, 35.2405, 10, 0.8, 0.0131, 0.83333, 0.00811
alpha_model-1602994931, 35.4545, 10, 0.82, 0.00987, 0.93056, 0.00385
alpha_model-1602994931, 35.5155, 11, 0.8, 0.01127, 0.86111, 0.00532
alpha_model-1602994931, 35.7242, 11, 0.66, 0.0191, 0.93056, 0.0037
alpha_model-1602994931, 35.931, 11, 0.82, 0.01061, 0.875, 0.00741
alpha_model-1602994931, 36.1407, 11, 0.84, 0.00935, 0.91667, 0.00389
alpha_model-1602994931, 36.3431, 11, 0.77, 0.01136, 0.84722, 0.00809
alpha_model-1602994931, 36.5558, 11, 0.81, 0.01137, 0.94444, 0.00324
alpha_model-1602994931, 36.7641, 11, 0.84, 0.01007, 0.91667, 0.00636
alpha_model-1602994931, 36.97, 11, 0.78, 0.0121, 0.95833, 0.00268
alpha_model-1602994931, 37.1787, 11, 0.82, 0.01146, 0.93056, 0.00508
alpha_model-1602994931, 37.3844, 11, 0.83, 0.01027, 0.93056, 0.00433
alpha_model-1602994931, 37.5972, 11, 0.82, 0.01016, 0.95833, 0.00301
alpha_model-1602994931, 37.8045, 11, 0.82, 0.00998, 0.91667, 0.00522
alpha_model-1602994931, 38.0243, 11, 0.77, 0.01279, 0.88889, 0.00547
alpha_model-1602994931, 38.2294, 11, 0.82, 0.01044, 0.88889, 0.00742
alpha_model-1602994931, 38.4385, 11, 0.76, 0.01281, 0.90278, 0.00625
alpha_model-1602994931, 38.646, 11, 0.8, 0.01076, 0.93056, 0.00413
alpha_model-1602994931, 38.7049, 12, 0.86, 0.00818, 0.94444, 0.00237
alpha_model-1602994931, 38.9075, 12, 0.78, 0.01318, 0.90278, 0.00566
alpha_model-1602994931, 39.1114, 12, 0.82, 0.01099, 0.94444, 0.0026
alpha_model-1602994931, 39.3168, 12, 0.84, 0.00865, 0.86111, 0.00722
alpha_model-1602994931, 39.5269, 12, 0.87, 0.00719, 0.90278, 0.00482
alpha_model-1602994931, 39.735, 12, 0.78, 0.01121, 0.93056, 0.00407
alpha_model-1602994931, 39.9471, 12, 0.83, 0.00992, 0.98611, 0.00125
alpha_model-1602994931, 40.1599, 12, 0.85, 0.00863, 0.84722, 0.0074
alpha_model-1602994931, 40.3646, 12, 0.83, 0.00892, 0.90278, 0.00561
alpha_model-1602994931, 40.579, 12, 0.75, 0.01506, 0.94444, 0.00357
alpha_model-1602994931, 40.7839, 12, 0.77, 0.01388, 0.875, 0.00569
alpha_model-1602994931, 40.9938, 12, 0.83, 0.00978, 0.93056, 0.00374
alpha_model-1602994931, 41.1992, 12, 0.83, 0.01021, 0.91667, 0.00478
alpha_model-1602994931, 41.4028, 12, 0.8, 0.01189, 0.91667, 0.00407
alpha_model-1602994931, 41.6125, 12, 0.82, 0.01051, 0.95833, 0.00306
alpha_model-1602994931, 41.8189, 12, 0.74, 0.0152, 0.95833, 0.00295
alpha_model-1602994931, 41.8795, 13, 0.82, 0.01145, 0.91667, 0.00519
alpha_model-1602994931, 42.0849, 13, 0.84, 0.00951, 0.95833, 0.00275
